time	V(cmp_out)	V(filt_out)	V(vin_sensor)
8.221400759703447e-01	1.691712e+00	1.220068e+00	1.212625e-01
8.221480759703447e-01	1.682032e+00	1.220005e+00	1.212563e-01
8.221960759703447e-01	1.670977e+00	1.219628e+00	1.212192e-01
8.226440759703447e-01	1.661093e+00	1.216120e+00	1.208737e-01
8.232952188274876e-01	1.658102e+00	1.211066e+00	1.203759e-01
8.239463616846304e-01	1.654881e+00	1.206065e+00	1.198835e-01
8.245975045417733e-01	1.651430e+00	1.201118e+00	1.193966e-01
8.252486473989161e-01	1.647749e+00	1.196224e+00	1.189151e-01
8.258997902560590e-01	1.643838e+00	1.191385e+00	1.184389e-01
8.265509331132018e-01	1.639697e+00	1.186598e+00	1.179682e-01
8.272020759703447e-01	1.635326e+00	1.181866e+00	1.175030e-01
8.273270759703447e-01	1.632659e+00	1.180965e+00	1.174143e-01
8.275780759703447e-01	1.199281e+00	1.179159e+00	1.172368e-01
8.276233616846305e-01	1.038479e+00	1.178834e+00	1.172049e-01
8.276686473989161e-01	8.917303e-01	1.178510e+00	1.171730e-01
8.277139331132018e-01	7.590355e-01	1.178185e+00	1.171411e-01
8.277592188274876e-01	6.403944e-01	1.177861e+00	1.171093e-01
8.278045045417733e-01	5.358070e-01	1.177537e+00	1.170775e-01
8.278497902560590e-01	4.452733e-01	1.177214e+00	1.170457e-01
8.278950759703447e-01	3.687933e-01	1.176891e+00	1.170139e-01
8.279590759703447e-01	2.802599e-01	1.176434e+00	1.169691e-01
8.280870759703447e-01	1.588040e-01	1.175523e+00	1.168795e-01
8.283430759703447e-01	4.897771e-02	1.173707e+00	1.167011e-01
8.288550759703447e-01	4.485225e-03	1.170101e+00	1.163468e-01
8.298550759703447e-01	4.383885e-05	1.163157e+00	1.156649e-01
8.308550759703447e-01	4.673371e-07	1.156345e+00	1.149963e-01
8.368550759703447e-01	-1.098415e-15	1.118308e+00	1.112702e-01
8.461407902560590e-01	-6.053289e-16	1.068855e+00	1.064558e-01
8.554265045417733e-01	-2.242990e-16	1.032757e+00	1.029781e-01
8.647122188274876e-01	4.467415e-17	1.010013e+00	1.008371e-01
8.739979331132018e-01	2.015906e-16	1.000623e+00	1.000329e-01
8.832836473989162e-01	2.464504e-16	1.004588e+00	1.005653e-01
8.925693616846305e-01	1.792536e-16	1.021907e+00	1.024346e-01
9.018550759703448e-01	0.000000e+00	1.052580e+00	1.056405e-01
9.045693616846304e-01	-2.120862e-09	1.064079e+00	1.068287e-01
9.072836473989162e-01	-2.912481e-09	1.076626e+00	1.081212e-01
9.099979331132019e-01	-2.374857e-09	1.090223e+00	1.095180e-01
9.127122188274877e-01	-5.079914e-10	1.104867e+00	1.110191e-01
9.154265045417733e-01	2.688117e-09	1.120561e+00	1.126244e-01
9.181407902560591e-01	7.213468e-09	1.137303e+00	1.143340e-01
9.208550759703448e-01	1.306806e-08	1.155094e+00	1.161478e-01
9.218550759703448e-01	1.872779e-05	1.161881e+00	1.168391e-01
9.228550759703448e-01	1.886454e-03	1.168800e+00	1.175436e-01
9.238550759703448e-01	1.953449e-01	1.175851e+00	1.182610e-01
9.239800759703448e-01	3.376974e-01	1.176743e+00	1.183516e-01
9.242310759703448e-01	9.034987e-01	1.178537e+00	1.185341e-01
9.242570759703448e-01	9.884189e-01	1.178723e+00	1.185531e-01
9.242830759703449e-01	1.076465e+00	1.178909e+00	1.185720e-01
9.243090759703448e-01	1.167637e+00	1.179096e+00	1.185910e-01
9.243350759703448e-01	1.261935e+00	1.179283e+00	1.186100e-01
9.243610759703448e-01	1.359359e+00	1.179469e+00	1.186290e-01
9.243870759703449e-01	1.459909e+00	1.179656e+00	1.186480e-01
9.244130759703448e-01	1.563585e+00	1.179843e+00	1.186670e-01
9.244290759703448e-01	1.614309e+00	1.179958e+00	1.186787e-01
9.244610759703449e-01	1.624997e+00	1.180188e+00	1.187021e-01
9.246530759703449e-01	1.635706e+00	1.181572e+00	1.188428e-01
9.254210759703448e-01	1.642391e+00	1.187154e+00	1.194105e-01
9.260169331132020e-01	1.644083e+00	1.191538e+00	1.198561e-01
9.266127902560591e-01	1.646353e+00	1.195966e+00	1.203062e-01
9.272086473989163e-01	1.649201e+00	1.200440e+00	1.207607e-01
9.278045045417734e-01	1.652626e+00	1.204958e+00	1.212196e-01
9.284003616846306e-01	1.656629e+00	1.209522e+00	1.216829e-01
9.289962188274877e-01	1.661211e+00	1.214129e+00	1.221507e-01
9.295920759703449e-01	1.666370e+00	1.218782e+00	1.226229e-01
9.298430759703449e-01	2.056545e+00	1.220755e+00	1.228231e-01
9.298975045417734e-01	2.268915e+00	1.221183e+00	1.228666e-01
9.299519331132020e-01	2.457886e+00	1.221613e+00	1.229102e-01
9.300063616846306e-01	2.623457e+00	1.222042e+00	1.229538e-01
9.300607902560591e-01	2.765628e+00	1.222472e+00	1.229974e-01
9.301152188274877e-01	2.884401e+00	1.222902e+00	1.230411e-01
9.301696473989163e-01	2.979773e+00	1.223333e+00	1.230847e-01
9.302240759703448e-01	3.051746e+00	1.223764e+00	1.231285e-01
9.303520759703449e-01	3.168952e+00	1.224778e+00	1.232314e-01
9.306080759703449e-01	3.265245e+00	1.226814e+00	1.234380e-01
9.311200759703449e-01	3.297712e+00	1.230910e+00	1.238535e-01
9.399772188274877e-01	3.298739e+00	1.309579e+00	1.318195e-01
9.488343616846305e-01	3.299533e+00	1.393973e+00	1.403450e-01
